,class,k,accuracy,precision,recall
210,Bed,3,0.9879190530736921,0.21296296296296297,0.031550068587105615
211,Bicycle,3,0.9893100713719268,0.5096153846153846,0.07840236686390531
212,Biplane,3,0.9803986254295531,0.18333333333333332,0.016296296296296295
213,Bird,3,0.9805435801312093,0.10227272727272728,0.009297520661157023
214,Bookset,3,0.9921237113402063,0.6125,0.12250000000000001
215,Bottle,3,0.986258729630861,0.20967741935483872,0.027055150884495307
216,BuildingNonResidential,3,0.9809829777031888,0.11046511627906977,0.010275824770146023
217,Bus,3,0.9905979381443301,0.15,0.03
218,Car,3,0.9636176194939072,0.4715909090909091,0.021435950413223145
219,Cellphone,3,0.9906890938686921,0.05263157894736842,0.0110803324099723
220,Chess,3,0.9835268583830712,0.2565789473684211,0.027008310249307475
221,City,3,0.9880412371134019,0.125,0.019230769230769225
222,ClassicPiano,3,0.9906804123711342,0.175,0.034999999999999996
223,Computer,3,0.9863642611683854,0.11666666666666667,0.015555555555555553
224,ComputerKeyboard,3,0.9912989690721649,0.3625,0.07250000000000001
225,Cup,3,0.9874608629247803,0.07407407407407407,0.010973936899862825
226,DeskLamp,3,0.9861523112736946,0.1774193548387097,0.022892819979188343
227,DeskPhone,3,0.9902680412371134,0.05,0.01
228,Door,3,0.9815391992327975,0.27906976744186046,0.025959978366684698
229,Drum,3,0.9909495387954421,0.13157894736842105,0.027700831024930747
230,Fish,3,0.9913402061855671,0.375,0.075
231,FloorLamp,3,0.9873081328751431,0.027777777777777776,0.004115226337448559
232,Glasses,3,0.9903917525773197,0.0875,0.017499999999999998
233,Guitar,3,0.9903505154639178,0.075,0.015
234,Gun,3,0.9752150728759328,0.23706896551724138,0.016349583828775268
235,Hand,3,0.9843633324045697,0.38513513513513514,0.041636230825420006
236,Hat,3,0.992549828178694,0.11666666666666667,0.03111111111111111
237,Helicopter,3,0.9783869011522129,0.3235294117647059,0.025374855824682817
238,House,3,0.9800137457044674,0.06666666666666667,0.005925925925925926
239,HumanHead,3,0.9783707297351925,0.31862745098039214,0.024990388312187622
240,Humanoid,3,0.9415826920284586,0.5422535211267606,0.015274747073993258
241,Insect,3,0.9719337706966573,0.24242424242424243,0.014692378328741958
242,Jet,3,0.9414980895393276,0.6416083916083916,0.017947087877157826
243,Knife,3,0.9891298969072166,0.33,0.052800000000000014
244,MilitaryVehicle,3,0.9908865979381444,0.2375,0.0475
245,Monitor,3,0.9903917525773197,0.0875,0.017499999999999998
246,Monoplane,3,0.990474226804124,0.1125,0.0225
247,Motorcycle,3,0.9890880253766853,0.4423076923076923,0.06804733727810651
248,Mug,3,0.9886020618556703,0.17,0.0272
249,MultiSeat,3,0.9805819014891178,0.2388888888888889,0.02123456790123457
250,Musical_Instrument,3,0.9898085419734903,0.03571428571428571,0.006802721088435374
251,NonWheelChair,3,0.9765248359887533,0.2590909090909091,0.018842975206611573
252,PianoBoard,3,0.9920347259902332,0.4605263157894737,0.09695290858725761
253,PlantIndoors,3,0.9720285487708165,0.14615384615384616,0.008994082840236681
254,PlantWildNonTree,3,0.9873997709049257,0.05555555555555555,0.008230452674897118
255,Quadruped,3,0.9753807198408395,0.16228070175438597,0.011388119421360423
256,RectangleTable,3,0.9755254114668113,0.20614035087719298,0.014465989535241612
257,Rocket,3,0.9907216494845363,0.1875,0.0375
258,RoundTable,3,0.9856701030927836,0.15625,0.01953125
259,Shelf,3,0.9829447528416599,0.20512820512820512,0.021038790269559505
260,Ship,3,0.9731692716993678,0.11693548387096774,0.0075442247658688835
261,Sign,3,0.9926362297496317,0.017857142857142856,0.00510204081632653
262,Skyscraper,3,0.9903917525773197,0.0875,0.017499999999999998
263,Spoon,3,0.9914776632302407,0.16666666666666666,0.03703703703703704
264,Starship,3,0.9859660791486531,0.12096774193548387,0.015608740894901142
265,SubmachineGun,3,0.9907628865979381,0.2,0.04000000000000001
266,Sword,3,0.9781284694686756,0.3701923076923077,0.028476331360946742
267,Tool,3,0.9826391752577326,0.2375,0.02375000000000001
268,Train,3,0.9871596160682543,0.23275862068965517,0.032104637336504156
269,Tree,3,0.9795428059166293,0.04891304347826087,0.004253308128544423
270,Truck,3,0.9877968690339821,0.17592592592592593,0.02606310013717421
271,TruckNonContainer,3,0.9911665762344003,0.19736842105263158,0.041551246537396114
272,Vase,3,0.9907759088442755,0.07894736842105263,0.016620498614958446
273,Violin,3,0.9918762886597936,0.5375,0.1075
274,Wheel,3,0.9921649484536081,0.125,0.03125
275,WheelChair,3,0.9907216494845361,0.1875,0.0375
276,AircraftBuoyant,4,0.9920103092783505,0.16250000000000003,0.05078125
277,Apartment,4,0.9891283973758204,0.06363636363636363,0.014462809917355374
278,AquaticAnimal,4,0.9868041237113403,0.2,0.03448275862068965
279,Bed,4,0.9876288659793817,0.2,0.037037037037037035
280,Bicycle,4,0.9891514670896117,0.4692307692307693,0.09023668639053256
281,Biplane,4,0.9800962199312715,0.1733333333333334,0.01925925925925926
282,Bird,4,0.9801874414245547,0.09545454545454546,0.010847107438016527
283,Bookset,4,0.9921649484536081,0.6000000000000001,0.15000000000000002
284,Bottle,4,0.9860059860325909,0.20645161290322586,0.03329864724245576
285,BuildingNonResidential,4,0.9805706065691681,0.08837209302325583,0.010275824770146023
286,Bus,4,0.9903092783505152,0.15,0.0375
287,Car,4,0.9635051546391751,0.4500000000000001,0.025568181818181823
288,Cellphone,4,0.9902767227346717,0.042105263157894736,0.0110803324099723
289,Chess,4,0.9832230059685294,0.23157894736842108,0.030470914127423823
290,City,4,0.9876288659793817,0.1,0.019230769230769225
291,ClassicPiano,4,0.9903917525773194,0.16999999999999998,0.042499999999999996
292,Computer,4,0.9860068728522335,0.10666666666666669,0.017777777777777778
293,ComputerKeyboard,4,0.9911340206185566,0.35,0.0875
294,Cup,4,0.9871401298205426,0.08148148148148149,0.015089163237311385
295,DeskLamp,4,0.9857665447289656,0.14838709677419354,0.02393340270551509
296,DeskPhone,4,0.9898556701030927,0.04,0.01
297,Door,4,0.9813569887317193,0.2790697674418604,0.03244997295835588
298,Drum,4,0.9907107976125884,0.14736842105263157,0.03878116343490305
299,Fish,4,0.9911752577319589,0.36000000000000004,0.09000000000000001
300,FloorLamp,4,0.9869263077510504,0.02962962962962963,0.0054869684499314125
301,Glasses,4,0.9901030927835051,0.1,0.025
302,Guitar,4,0.9899793814432989,0.06999999999999999,0.017499999999999998
303,Gun,4,0.9749448986846783,0.2241379310344827,0.01932223543400713
304,Hand,4,0.984173864586236,0.3621621621621622,0.0489408327246165
305,Hat,4,0.9921924398625431,0.10666666666666667,0.035555555555555556
306,Helicopter,4,0.9781362441883971,0.2980392156862745,0.029219530949634753
307,House,4,0.9796197021764033,0.05777777777777777,0.0064197530864197536
308,HumanHead,4,0.9781362441883971,0.29803921568627445,0.029219530949634746
309,Humanoid,4,0.9415710759401772,0.530985915492958,0.01869668716524501
310,Insect,4,0.9717463292721026,0.24848484848484848,0.018824609733700634
311,Jet,4,0.9415644149664768,0.6293706293706293,0.022005966061910128
312,Knife,4,0.9889154639175256,0.31200000000000006,0.06240000000000001
313,MilitaryVehicle,4,0.9904742268041238,0.19,0.0475
314,Monitor,4,0.9899793814432989,0.06999999999999999,0.017499999999999998
315,Monoplane,4,0.990185567010309,0.12,0.03
316,Motorcycle,4,0.9888659793814433,0.39999999999999997,0.07692307692307694
317,Mug,4,0.9882886597938145,0.16000000000000003,0.032
318,MultiSeat,4,0.9803528064146622,0.23555555555555552,0.02617283950617284
319,Musical_Instrument,4,0.9894354442808051,0.0380952380952381,0.009070294784580499
320,NonWheelChair,4,0.9762474226804122,0.24000000000000007,0.021818181818181816
321,PianoBoard,4,0.9920564297341291,0.47368421052631576,0.12465373961218836
322,PlantIndoors,4,0.9717303727200638,0.1446153846153846,0.01112426035502958
323,PlantWildNonTree,4,0.9869873997709052,0.044444444444444446,0.008230452674897118
324,Quadruped,4,0.9750551636824016,0.1508771929824562,0.01323484148968914
325,RectangleTable,4,0.9753445469343461,0.2210526315789474,0.019390581717451526
326,Rocket,4,0.9903092783505153,0.15,0.0375
327,RoundTable,4,0.9853865979381444,0.15625000000000006,0.0244140625
328,Shelf,4,0.9827015596087764,0.20512820512820512,0.026298487836949373
329,Ship,4,0.9728234120385766,0.10967741935483875,0.008844953173777311
330,Sign,4,0.992223858615611,0.014285714285714287,0.00510204081632653
331,Skyscraper,4,0.9900618556701032,0.09,0.0225
332,Spoon,4,0.9912027491408933,0.16666666666666663,0.04629629629629631
333,Starship,4,0.9856069171932157,0.10967741935483873,0.017689906347554626
334,SubmachineGun,4,0.9903917525773196,0.17,0.0425
335,Sword,4,0.9780015860428228,0.3653846153846153,0.03513313609467455
336,Tool,4,0.9823092783505146,0.21000000000000002,0.026250000000000002
337,Train,4,0.9867756843227876,0.19310344827586212,0.033293697978596895
338,Tree,4,0.9791304347826092,0.03913043478260869,0.004253308128544423
339,Truck,4,0.987506681939672,0.1703703703703704,0.031550068587105615
340,TruckNonContainer,4,0.9907976125881716,0.16842105263157894,0.04432132963988919
341,Vase,4,0.9903635377102551,0.06315789473684211,0.016620498614958446
342,Violin,4,0.9917525773195879,0.5000000000000001,0.12500000000000003
343,Wheel,4,0.9920103092783508,0.16249999999999998,0.05078125
344,WheelChair,4,0.9904329896907216,0.18,0.045
345,AircraftBuoyant,5,0.9917525773195877,0.16666666666666666,0.0625
346,Apartment,5,0.988716026241799,0.053030303030303025,0.014462809917355374
347,AquaticAnimal,5,0.9864201919658728,0.17241379310344832,0.035671819262782394
348,Bed,5,0.9873692248949979,0.19753086419753088,0.04389574759945131
349,Bicycle,5,0.9889611419508324,0.435897435897436,0.10059171597633138
350,Biplane,5,0.979757159221077,0.1592592592592593,0.02123456790123457
351,Bird,5,0.979850046860356,0.09469696969696971,0.012913223140495866
352,Bookset,5,0.9920824742268042,0.5666666666666668,0.16999999999999998
353,Bottle,5,0.9856468240771533,0.18279569892473113,0.03537981269510925
354,BuildingNonResidential,5,0.9801774154878927,0.07751937984496124,0.010816657652785288
355,Bus,5,0.9899381443298971,0.13333333333333336,0.039999999999999994
356,Car,5,0.963355201499531,0.428030303030303,0.029183884297520665
357,Cellphone,5,0.9899511665762344,0.05263157894736842,0.016620498614958446
358,Chess,5,0.9829191535539884,0.21491228070175442,0.03393351800554016
359,City,5,0.9872164948453611,0.08333333333333333,0.019230769230769225
360,ClassicPiano,5,0.990144329896907,0.175,0.052500000000000005
361,Computer,5,0.9857319587628864,0.11666666666666665,0.02333333333333333
362,ComputerKeyboard,5,0.9908041237113402,0.30833333333333335,0.0925
363,Cup,5,0.9867583046964487,0.07407407407407407,0.016460905349794237
364,DeskLamp,5,0.9853807781842369,0.12903225806451613,0.02497398543184183
365,DeskPhone,5,0.9894845360824744,0.041666666666666664,0.0125
366,Door,5,0.98117477823064,0.27906976744186046,0.03893996755002705
367,Drum,5,0.9903852414541506,0.14035087719298245,0.0443213296398892
368,Fish,5,0.9909278350515465,0.33333333333333337,0.09999999999999999
369,FloorLamp,5,0.9865139366170289,0.024691358024691357,0.0054869684499314125
370,Glasses,5,0.9897319587628866,0.09166666666666665,0.027499999999999997
371,Guitar,5,0.9895670103092782,0.05833333333333333,0.017499999999999998
372,Gun,5,0.9746320654105938,0.2068965517241379,0.021403091557669434
373,Hand,5,0.9838952354416272,0.3288288288288288,0.0533235938641344
374,Hat,5,0.9918350515463918,0.1,0.04
375,Helicopter,5,0.9779017586416008,0.284313725490196,0.03344867358708189
376,House,5,0.9792439862542957,0.05555555555555555,0.007407407407407407
377,HumanHead,5,0.9778532443905392,0.27450980392156854,0.03229527104959631
378,Humanoid,5,0.9414723391897779,0.5058685446009389,0.021374727236659417
379,Insect,5,0.9715463917525771,0.25,0.02272727272727272
380,Jet,5,0.9416249729651794,0.62004662004662,0.026015942099858184
381,Knife,5,0.9886680412371132,0.2933333333333333,0.0704
382,MilitaryVehicle,5,0.9902268041237114,0.19166666666666665,0.057499999999999996
383,Monitor,5,0.9895670103092782,0.05833333333333333,0.017499999999999998
384,Monoplane,5,0.9898144329896906,0.10833333333333332,0.032499999999999994
385,Motorcycle,5,0.9884853291038856,0.33974358974358976,0.07840236686390534
386,Mug,5,0.987942268041237,0.14666666666666664,0.0352
387,MultiSeat,5,0.9801603665521192,0.24074074074074076,0.03209876543209876
388,Musical_Instrument,5,0.9890623465881202,0.03968253968253968,0.011337868480725623
389,NonWheelChair,5,0.9759550140581068,0.2242424242424242,0.024462809917355367
390,PianoBoard,5,0.9919045035268582,0.4473684210526316,0.1412742382271468
391,PlantIndoors,5,0.9714068199841398,0.1384615384615384,0.012781065088757385
392,PlantWildNonTree,5,0.9866055746468114,0.043209876543209874,0.009602194787379972
393,Quadruped,5,0.9747151383613674,0.14035087719298245,0.014773776546629735
394,RectangleTable,5,0.9750479291011032,0.20760233918128654,0.021852877808556485
395,Rocket,5,0.9899793814432989,0.14166666666666666,0.042499999999999996
396,RoundTable,5,0.9849999999999998,0.13541666666666669,0.025390625
397,Shelf,5,0.9824160719006075,0.19658119658119663,0.030243261012491775
398,Ship,5,0.9725174592617234,0.11290322580645167,0.010926118626430795
399,Sign,5,0.9918703976435934,0.023809523809523808,0.01020408163265306
400,Skyscraper,5,0.9896494845360824,0.075,0.0225
401,Spoon,5,0.9908361970217641,0.14814814814814814,0.04938271604938272
402,Starship,5,0.9852743598270703,0.10752688172043011,0.020811654526534856
403,SubmachineGun,5,0.9899793814432991,0.14166666666666666,0.0425
404,Sword,5,0.9777160983346551,0.3301282051282052,0.03809171597633136
405,Tool,5,0.9819793814432991,0.19166666666666674,0.028749999999999998
406,Train,5,0.9863917525773194,0.16666666666666666,0.03448275862068964
407,Tree,5,0.9787180636485876,0.03260869565217391,0.004253308128544423
408,Truck,5,0.9872164948453604,0.1666666666666667,0.03703703703703703
409,TruckNonContainer,5,0.9905588714053173,0.17543859649122806,0.05540166204986148
410,Vase,5,0.9899511665762342,0.05263157894736842,0.016620498614958446
411,Violin,5,0.9916701030927835,0.4833333333333333,0.145
412,Wheel,5,0.991701030927835,0.15625000000000003,0.05859375
413,WheelChair,5,0.9901443298969074,0.175,0.052500000000000005
